timestamp,range_0,range_32,range_64,range_96,range_128,range_160,range_192,range_224,range_256,range_288,range_320,range_352,odom_x,odom_y,odom_theta,v,w,gt_x,gt_y,gt_theta
55.160,0.361475,0.232835,0.221413,0.288337,0.763136,1.001684,1.432562,1.297156,1.377684,0.669155,0.550547,0.462245,-0.405559,-0.024819,1.080239,0.000000,-1.000000,-0.517181,-0.185264,0.956592
55.180,0.353164,0.226864,0.221694,0.298462,0.820175,1.005473,1.458985,1.290390,1.392371,0.668716,0.543311,0.444534,-0.405559,-0.024819,1.059515,0.000000,-1.000000,-0.517181,-0.185266,0.938589
55.200,0.348018,0.233933,0.228063,0.295507,0.878832,1.008311,1.497108,1.291663,1.361024,0.651570,0.534824,0.440421,-0.405559,-0.024819,1.038791,0.000000,-1.000000,-0.517180,-0.185269,0.920587
55.220,0.336430,0.232091,0.223839,0.302050,0.938972,1.015982,1.521842,1.299845,1.311105,0.644588,0.536899,0.425203,-0.405559,-0.024819,1.020657,0.000000,-1.000000,-0.517179,-0.185272,0.902586
55.240,0.331762,0.223727,0.224433,0.316888,0.967328,1.022361,1.556308,1.282179,1.258504,0.649194,0.541209,0.403227,-0.405559,-0.024819,0.999933,0.000000,-1.000000,-0.517179,-0.185274,0.884587
55.260,0.326396,0.211020,0.232188,0.314024,0.971226,1.025482,1.601635,1.259233,1.200500,0.637216,0.545383,0.390473,-0.405559,-0.024819,0.979209,0.000000,-1.000000,-0.517178,-0.185277,0.866588
55.280,0.312029,0.221659,0.218481,0.308329,0.980988,1.032988,1.589306,1.281384,1.171135,0.634717,0.539187,0.386609,-0.405500,-0.024734,0.959780,0.000000,-1.000000,-0.517177,-0.185279,0.848591
55.300,0.308527,0.227372,0.212979,0.326633,0.963305,1.037212,1.567971,1.282028,1.134902,0.624116,0.533634,0.377303,-0.405560,-0.024818,0.940352,0.000000,-1.000000,-0.517176,-0.185281,0.830595
55.320,0.313741,0.223889,0.229221,0.336892,0.961211,1.047467,1.539145,1.270888,1.098171,0.619762,0.538564,0.368104,-0.405560,-0.024818,0.919628,0.000000,-1.000000,-0.517175,-0.185284,0.812599
55.340,0.291123,0.203536,0.218727,0.337886,0.949761,1.056237,1.529699,1.276723,1.062853,0.606193,0.536644,0.352233,-0.405560,-0.024818,0.898904,0.000000,-1.000000,-0.517175,-0.185286,0.794604
55.360,0.290900,0.213026,0.226742,0.346836,0.962120,1.070262,1.517887,1.283094,1.026735,0.609403,0.541856,0.346679,-0.405560,-0.024818,0.880770,0.000000,-1.000000,-0.517174,-0.185288,0.776610
55.380,0.291141,0.215327,0.217431,0.353657,0.961820,1.085418,1.496733,1.279875,0.995867,0.604215,0.546920,0.345658,-0.405560,-0.024818,0.860046,0.000000,-1.000000,-0.517173,-0.185290,0.758617
55.400,0.279664,0.213606,0.233746,0.365601,0.953851,1.086108,1.485555,1.281801,0.972790,0.601568,0.555101,0.332142,-0.405560,-0.024818,0.839322,0.150000,0.000000,-0.517172,-0.185292,0.740625
55.420,0.279116,0.220576,0.228020,0.366668,0.948296,1.091963,1.484332,1.303733,0.972776,0.597106,0.553383,0.335441,-0.403554,-0.022580,0.840617,0.150000,0.000000,-0.515109,-0.183406,0.738279
55.440,0.290796,0.215764,0.236887,0.372046,0.950564,1.084313,1.477689,1.280903,0.975161,0.607775,0.549344,0.330074,-0.401549,-0.020343,0.839322,0.150000,0.000000,-0.512886,-0.181384,0.738286
